opponent,date,fight_1,fight_2,fight_3,fight_4,fight_5,fight_6,fight_7,fight_8,fight_9,fight_10,fight_11,fight_12,fight_13,fight_14
José Ramírez,2013-10-12,Win,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Salido,2014-03-01,NA,Loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Russell Jr.,2014-06-21,NA,NA,Win,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chonlatarn Piriyapinyo,2014-11-22,NA,NA,NA,Win,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gamalier Rodríguez,2015-05-02,NA,NA,NA,NA,Win,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romulo Koasicha,2015-11-07,NA,NA,NA,NA,NA,Win,NA,NA,NA,NA,NA,NA,NA,NA
Román Martínez,2016-06-11,NA,NA,NA,NA,NA,NA,Win,NA,NA,NA,NA,NA,NA,NA
Nicholas Walters,2016-11-26,NA,NA,NA,NA,NA,NA,NA,Win,NA,NA,NA,NA,NA,NA
Jason Sosa,2017-04-08,NA,NA,NA,NA,NA,NA,NA,NA,Win,NA,NA,NA,NA,NA
Miguel Marriaga,2017-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,Win,NA,NA,NA,NA
Guillermo Rigondeaux,2017-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Win,NA,NA,NA
Jorge Linares,2018-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Win,NA,NA
José Pedraza,2018-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Win,NA
Anthony Crolla,2019-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A
