no,result,record,opponent,type,round_time,date,location,notes
14,N/A,N/A,Anthony Crolla,N/A,– (12),12 Apr 2019,"Staples Center, Los Angeles, California, US","Defending WBA (Super), WBO, and The Ring lightweight titles"
13,Win,12–1,José Pedraza,UD,12,8 Dec 2018,"Hulu Theater, New York City, New York, US",Retained WBA (Super) and The Ring lightweight titles;Won WBO lightweight title
12,Win,11–1,Jorge Linares,TKO,"10 (12), 2:08",12 May 2018,"Madison Square Garden, New York City, New York, US",Won WBA (Super) and The Ring lightweight titles
11,Win,10–1,Guillermo Rigondeaux,RTD,"6 (12), 3:00",9 Dec 2017,"The Theater at Madison Square Garden, New York City, New York, US",Retained WBO junior lightweight title
10,Win,9–1,Miguel Marriaga,RTD,"7 (12), 3:00",5 Aug 2017,"Microsoft Theater, Los Angeles, California, US",Retained WBO junior lightweight title
9,Win,8–1,Jason Sosa,RTD,"9 (12), 3:00",8 Apr 2017,"MGM National Harbor, Oxon Hill, Maryland, US",Retained WBO junior lightweight title
8,Win,7–1,Nicholas Walters,RTD,"7 (12), 3:00",26 Nov 2016,"Cosmopolitan of Las Vegas, Paradise, Nevada, US",Retained WBO junior lightweight title
7,Win,6–1,Román Martínez,KO,"5 (12), 1:09",11 Jun 2016,"The Theater at Madison Square Garden, New York City, New York, US",Won WBO junior lightweight title
6,Win,5–1,Romulo Koasicha,KO,"10 (12), 2:35",7 Nov 2015,"Thomas & Mack Center, Paradise, Nevada, US",Retained WBO featherweight title
5,Win,4–1,Gamalier Rodríguez,KO,"9 (12), 0:50",2 May 2015,"MGM Grand Garden Arena, Paradise, Nevada, US",Retained WBO featherweight title
4,Win,3–1,Chonlatarn Piriyapinyo,UD,12,22 Nov 2014,"Cotai Arena, Macau, SAR",Retained WBO featherweight title
3,Win,2–1,Gary Russell Jr.,MD,12,21 Jun 2014,"StubHub Center, Carson, California, US",Won vacant WBO featherweight title
2,Loss,1–1,Orlando Salido,SD,12,1 Mar 2014,"Alamodome, San Antonio, Texas, US",For vacant WBO featherweight title
1,Win,1–0,José Ramírez,TKO,"4 (10), 2:55",12 Oct 2013,"Thomas & Mack Center, Paradise, Nevada, US",Won WBO International featherweight title
