weekday,weekday_fct,weekday_chr,holiday,holiday_chr,holiday_fct,season,season_chr,season_fct,workingday,workingday_chr,workingday_fct,month,month_chr,month_fct,yr,yr_chr,yr_fct,weathersit,weathersit_chr,weathersit_fct,instant,dteday,mnth,temp,atemp,hum,windspeed,casual,registered,cnt
Saturday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,1,2011-01-01,1,368,980.3505,8000,670,331,654,985
Sunday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,2,2011-01-02,1,415,968.9222840000001,6900,1072,131,670,801
Monday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,3,2011-01-03,1,39,778.95218,4300,1072,120,1229,1349
Tuesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,4,2011-01-04,1,39,805.213032,5900,670,108,1454,1562
Wednesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,5,2011-01-05,1,86,825.0361200000001,4300,804,82,1518,1600
Thursday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,6,2011-01-06,1,39,829.589604,5100,402,88,1518,1606
Friday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,7,2011-01-07,1,39,801.4178840000001,4900,737,148,1362,1510
Saturday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,8,2011-01-08,1,-8,747.565624,5300,1139,68,891,959
Sunday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,9,2011-01-09,1,-55,694.2983,4300,1608,54,768,822
Monday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,10,2011-01-10,1,-8,734.4265280000001,4800,938,41,1280,1321
Tuesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,11,2011-01-11,1,-8,781.3323839999999,6800,536,43,1220,1263
Wednesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,12,2011-01-12,1,-8,745.506788,5900,1340,25,1137,1162
Thursday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,13,2011-01-13,1,-8,734.420748,4700,1340,38,1368,1406
Friday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,14,2011-01-14,1,-8,777.805428,5300,536,54,1367,1421
Saturday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,15,2011-01-15,1,86,846.8174720000001,4900,670,222,1026,1248
Sunday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,16,2011-01-16,1,86,830.7548519999999,4800,804,251,953,1204
Monday,NA,other,Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,17,2011-01-17,1,-8,764.3472760000001,5300,804,117,883,1000
Tuesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,18,2011-01-18,1,86,828.576948,8600,603,9,674,683
Wednesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,19,2011-01-19,1,227,904.9758320000001,7400,871,78,1572,1650
Thursday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,20,2011-01-20,1,180,854.8378,5300,871,83,1844,1927
Friday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,21,2011-01-21,1,-8,742.4549480000001,4500,1541,75,1468,1543
Saturday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,22,2011-01-22,1,-243,651.4044576,4000,737,93,888,981
Sunday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,23,2011-01-23,1,-149,674.2579996000001,4300,1072,150,836,986
Monday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,24,2011-01-24,1,-149,696.3270799999999,4900,670,86,1330,1416
Tuesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,25,2011-01-25,1,86,831.1120559999999,6100,536,186,1799,1985
Wednesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Rain/Snow/Storm,other,NA,26,2011-01-26,1,86,795.3616,8600,1273,34,472,506
Thursday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,27,2011-01-27,1,39,813.9732,6800,469,15,416,431
Friday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,28,2011-01-28,1,39,818.154452,7900,536,38,1129,1167
Saturday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,29,2011-01-29,1,39,805.217656,6500,603,123,975,1098
Sunday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,January,January,January,2011,other,NA,Good,other,NA,30,2011-01-30,1,86,849.3722319999999,7200,268,140,956,1096
Monday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,January,January,January,2011,other,NA,Clouds/Mist,other,NA,31,2011-01-31,1,-8,775.305,6000,804,42,1459,1501
Tuesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Clouds/Mist,other,NA,32,2011-02-01,2,39,831.11668,8200,201,47,1313,1360
Wednesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Clouds/Mist,other,NA,33,2011-02-02,2,180,854.106052,7700,1139,72,1454,1526
Thursday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,34,2011-02-03,2,-8,765.6269679999999,4300,1206,61,1489,1550
Friday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Clouds/Mist,other,NA,35,2011-02-04,2,39,824.246572,5800,536,88,1620,1708
Saturday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,February,February,February,2011,other,NA,Clouds/Mist,other,NA,36,2011-02-05,2,86,840.975048,9200,670,100,905,1005
Sunday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,37,2011-02-06,2,227,897.171676,5600,603,354,1269,1623
Monday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,38,2011-02-07,2,180,911.028648,7300,201,120,1592,1712
Tuesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,39,2011-02-08,2,86,789.172376,5300,1608,64,1466,1530
Wednesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Clouds/Mist,other,NA,40,2011-02-09,2,-55,726.791148,4900,804,53,1552,1605
Thursday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,41,2011-02-10,2,-55,732.877488,4300,938,47,1491,1538
Friday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,42,2011-02-11,2,-8,806.816404,5000,469,149,1597,1746
Saturday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,43,2011-02-12,2,86,829.294824,5400,871,288,1184,1472
Sunday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,44,2011-02-13,2,274,934.6746279999999,4500,1139,397,1192,1589
Monday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,45,2011-02-14,2,509,1020.4926,3700,1809,208,1705,1913
Tuesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,46,2011-02-15,2,180,853.940744,3100,1273,140,1675,1815
Wednesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,47,2011-02-16,2,274,925.5272,4200,1072,218,1897,2115
Thursday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,48,2011-02-17,2,556,1055.528648,5000,1005,259,2216,2475
Friday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,49,2011-02-18,2,744,1151.852348,5100,1139,579,2348,2927
Saturday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,50,2011-02-19,2,462,1012.4630239999999,1800,2278,532,1103,1635
Sunday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,51,2011-02-20,2,227,880.59348,4000,938,639,1173,1812
Monday,NA,other,Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,February,February,February,2011,other,NA,Clouds/Mist,other,NA,52,2011-02-21,2,274,888.3906999999999,6000,1340,195,912,1107
Tuesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,53,2011-02-22,2,-8,775.054148,5700,871,74,1376,1450
Wednesday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,54,2011-02-23,2,86,844.048852,4200,402,139,1778,1917
Thursday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Clouds/Mist,other,NA,55,2011-02-24,2,227,894.3047959999999,6900,1072,100,1707,1807
Friday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Clouds/Mist,other,NA,56,2011-02-25,2,415,965.1329160000001,7100,1541,120,1341,1461
Saturday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,57,2011-02-26,2,227,886.2139520000001,5300,804,424,1545,1969
Sunday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Non-Working Day,other,NA,February,February,February,2011,other,NA,Good,other,NA,58,2011-02-27,2,368,965.8820039999999,6800,536,694,1708,2402
Monday,NA,other,Non-Holiday,other,NA,Spring,other,NA,Working Day,other,NA,February,February,February,2011,other,NA,Clouds/Mist,other,NA,59,2011-02-28,2,509,1022.5364079999999,8700,1273,81,1365,1446
