weekday,weekday_chr,weekday_fct,holiday,holiday_chr,holiday_fct,season,season_chr,season_fct,workingday,workingday_chr,workingday_fct,month_ord,month_fct,yr,yr_chr,yr_fct,weathersit,weathersit_chr,weathersit_fct,instant,dteday,mnth,temp,atemp,hum,windspeed,casual,registered,cnt
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,1,2011-01-01,1,8,28.36325,80,10,331,654,985
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,2,2011-01-02,1,9,28.027126000000003,69,16,131,670,801
1,Monday,Monday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,1,Good,Good,3,2011-01-03,1,1,22.43977,43,16,120,1229,1349
2,Tuesday,Tuesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,1,Good,Good,4,2011-01-04,1,1,23.212148,59,10,108,1454,1562
3,Wednesday,Wednesday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,1,Good,Good,5,2011-01-05,1,2,23.795180000000002,43,12,82,1518,1600
4,Thursday,Thursday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,1,Good,Good,6,2011-01-06,1,1,23.929106,51,6,88,1518,1606
5,Friday,Friday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,7,2011-01-07,1,1,23.100526000000002,49,11,148,1362,1510
6,Saturday,Saturday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Jan,January,0,2011,2011,2,Clouds/Mist,Clouds/Mist,8,2011-01-08,1,0,21.516636,53,17,68,891,959
0,Sunday,Sunday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,0,Non-Working Day,Non-Working Day,Jan,January,0,2011,2011,1,Good,Good,9,2011-01-09,1,-1,19.94995,43,24,54,768,822
1,Monday,Monday,0,Non-Holiday,Non-Holiday,1,Spring,Spring,1,Working Day,Working Day,Jan,January,0,2011,2011,1,Good,Good,10,2011-01-10,1,0,21.130192,48,14,41,1280,1321
