original_record,call_time,description
"07:52    FAMILY DISTURB-MISC-NOT PC415                           1904100035Occurred on Spar Way, in Magalia. RP ADVISED THAT THERE IS A 415 GOING ON  AT THE NEIGHBORS ADDRESS. RP ADVISED THAT IT IS BETWEEN A PARENT AND CHILD. RP IS REQUESTING A WELFARE CHECK ON CHILD.Cellular E911 Call: Service Class: W911. . Disposition: No Report Taken.",07:52,"    FAMILY DISTURB-MISC-NOT PC415                           1904100035Occurred on Spar Way, in Magalia. RP ADVISED THAT THERE IS A 415 GOING ON  AT THE NEIGHBORS ADDRESS. RP ADVISED THAT IT IS BETWEEN A PARENT AND CHILD. RP IS REQUESTING A WELFARE CHECK ON CHILD.Cellular E911 Call: Service Class: W911. . Disposition: No Report Taken."
"08:02    EXTRA PATROL-MISCELLANEOUS                              1904100036Occurred at Chico Substation on E Park Ave. , in Chico. STARS UNITS ON PATROL IN CHICO AREA. . Disposition: Log Note Only.",08:02,"    EXTRA PATROL-MISCELLANEOUS                              1904100036Occurred at Chico Substation on E Park Ave. , in Chico. STARS UNITS ON PATROL IN CHICO AREA. . Disposition: Log Note Only."
"08:15    TRANSFERRED CALL-ALLIED AGENCY                          1904100040Occurred at Hwy 70/NELSON Ave, in Oroville. SOUTHBOUND RP ADV THAT THERE IS A PEDESTRIAN ON THE BRIDGE OVER THE FEATHER RIVER AND IS LOOKING OVER. RP XFER TO CHP.Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",08:15,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100040Occurred at Hwy 70/NELSON Ave, in Oroville. SOUTHBOUND RP ADV THAT THERE IS A PEDESTRIAN ON THE BRIDGE OVER THE FEATHER RIVER AND IS LOOKING OVER. RP XFER TO CHP.Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"08:22    MISCELLANEOUS-INFORMATION                               1904100042Occurred at Red Tape Rd/Cherokee Rd, in Oroville. RP REPORTING RECKLESS DRIVER ON HER ROAD. VEH: BLACK TRUCK. . Disposition: No Report Taken.",08:22,"    MISCELLANEOUS-INFORMATION                               1904100042Occurred at Red Tape Rd/Cherokee Rd, in Oroville. RP REPORTING RECKLESS DRIVER ON HER ROAD. VEH: BLACK TRUCK. . Disposition: No Report Taken."
"08:28    TRANSFERRED CALL-ALLIED AGENCY                          1904100043Occurred on Asheville Dr, in Magalia. RP ADV THAT HER FATHERS BLOOD SUGAR IS LOW AND REQUESTING AN AMBULANCE. RP XFER TO CAL FIRE. Service Class: VOIP. . Disposition: Transfer Other Agency.",08:28,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100043Occurred on Asheville Dr, in Magalia. RP ADV THAT HER FATHERS BLOOD SUGAR IS LOW AND REQUESTING AN AMBULANCE. RP XFER TO CAL FIRE. Service Class: VOIP. . Disposition: Transfer Other Agency."
"08:29    TRANSFERRED CALL-ALLIED AGENCY                          1904100044Occurred on Cherokee Rd, in Oroville. TRANSFER TO CHPRP ADVISED OF RECKLESS DRIVING Service Class: BUSN. . Disposition: Transfer Other Agency.",08:29,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100044Occurred on Cherokee Rd, in Oroville. TRANSFER TO CHPRP ADVISED OF RECKLESS DRIVING Service Class: BUSN. . Disposition: Transfer Other Agency."
"08:40    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100046Occurred at Bronson Cell Tower on Bronson Ct. , in Oroville. 911 OPEN LINE. NOTHING HEARD. 1709 METERS AT 100%Cellular E911 Call: Service Class: W911. . Disposition: Log Note Only.",08:40,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100046Occurred at Bronson Cell Tower on Bronson Ct. , in Oroville. 911 OPEN LINE. NOTHING HEARD. 1709 METERS AT 100%Cellular E911 Call: Service Class: W911. . Disposition: Log Note Only."
"08:42    TRANSFERRED CALL-ALLIED AGENCY                          1904100047Occurred on Woodman Dr, in Oroville. TRANSFER TO MEDICALRP ADVISED THAT HER SON IS IN A LOT OF PAINService Class: VOIP. . Disposition: Transfer Other Agency.",08:42,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100047Occurred on Woodman Dr, in Oroville. TRANSFER TO MEDICALRP ADVISED THAT HER SON IS IN A LOT OF PAINService Class: VOIP. . Disposition: Transfer Other Agency."
"08:52    TRANSFERRED CALL-ALLIED AGENCY                          1904100048Occurred on Sutter View Ct, in Palermo. TRANSFER TO MEDICAL Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",08:52,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100048Occurred on Sutter View Ct, in Palermo. TRANSFER TO MEDICAL Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"08:55    TRANSFERRED CALL-ALLIED AGENCY                          1904100049Occurred on Inglewood Dr, in Oroville. RP ADV A ELDERLY FRIEND HAD FALLEN. RP XFER TO CAL FIRE. Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",08:55,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100049Occurred on Inglewood Dr, in Oroville. RP ADV A ELDERLY FRIEND HAD FALLEN. RP XFER TO CAL FIRE. Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"08:57    ASSIST TO OTHER AGENCY                                  1904100051Occurred on Placer Ct, in Magalia. RP ADVISED SOMEONE PUSHED WHAT APPEARS TO BE AN ABANDONED VEH IN FRONT OF RP'S HOUSE, THE VEH HAD BEEN PARKED DOWN THE STREET FOR SEVERAL MONTHS, RP NOT SURE WHO PUT IT IN FRONT OF HIS HOUSE BUT HE DOESN'T WANT IT THERE.  BCSO DISPATCH ATC R/O OF VEH BUT PH # DISCONNECTED.  CHP ADVISED, REQUEST THEY TAG VEH FOR REMOVAL. . Disposition: Referred To Other Agency.",08:57,"    ASSIST TO OTHER AGENCY                                  1904100051Occurred on Placer Ct, in Magalia. RP ADVISED SOMEONE PUSHED WHAT APPEARS TO BE AN ABANDONED VEH IN FRONT OF RP'S HOUSE, THE VEH HAD BEEN PARKED DOWN THE STREET FOR SEVERAL MONTHS, RP NOT SURE WHO PUT IT IN FRONT OF HIS HOUSE BUT HE DOESN'T WANT IT THERE.  BCSO DISPATCH ATC R/O OF VEH BUT PH # DISCONNECTED.  CHP ADVISED, REQUEST THEY TAG VEH FOR REMOVAL. . Disposition: Referred To Other Agency."
"09:26    SIMPLE BATTERY-PC242                                    1904100055Officer initiated activity at Butte County Jail, Gillick Way, Oroville. . Disposition: Jail Incident.",09:26,"    SIMPLE BATTERY-PC242                                    1904100055Officer initiated activity at Butte County Jail, Gillick Way, Oroville. . Disposition: Jail Incident."
"09:28    TRANSFERRED CALL-ALLIED AGENCY                          1904100056Occurred on La Porte Rd, in Bangor. TXF TO CHP, RP REPORTING HIT & RUN IN FRONT OF HIS PROPERTY, INVOLVED VEHS GONE BUT THERE IS A LOT OF DEBRIS AND A LICENSE PLATE LEFT IN THE ROADService Class: RESD. . Disposition: Transfer Other Agency.",09:28,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100056Occurred on La Porte Rd, in Bangor. TXF TO CHP, RP REPORTING HIT & RUN IN FRONT OF HIS PROPERTY, INVOLVED VEHS GONE BUT THERE IS A LOT OF DEBRIS AND A LICENSE PLATE LEFT IN THE ROADService Class: RESD. . Disposition: Transfer Other Agency."
"09:45    ASSIST TO OTHER AGENCY                                  1904100057Occurred on Ophir Rd, in Oroville. CODE ENFORCEMENT REQUEST DEPUTIES TO ACCOMPANY THEM TO THE LOCATION. ADVISED THAT THEY ARE ENRT TO RED TAG THE STRUCTURES ON THE PROPERTY AND AN UNKNOWN NUMBER OF SUBJECTS ARE ON THE PROPERTY11-98 AT 7TH AND CAL-OAK. . Disposition: Outside Assist.",09:45,"    ASSIST TO OTHER AGENCY                                  1904100057Occurred on Ophir Rd, in Oroville. CODE ENFORCEMENT REQUEST DEPUTIES TO ACCOMPANY THEM TO THE LOCATION. ADVISED THAT THEY ARE ENRT TO RED TAG THE STRUCTURES ON THE PROPERTY AND AN UNKNOWN NUMBER OF SUBJECTS ARE ON THE PROPERTY11-98 AT 7TH AND CAL-OAK. . Disposition: Outside Assist."
"09:55    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100059Occurred at Rfp Lumber Co., Inc. on Feather River Blvd. , in Oroville. 911 HANG UP FROM A LAND LINE. ON CALL BACK PHONE PICKED AND HUNG UP. ON 2ND CALL BACK RP ADVISED PHONE WAS MISDIALED. Service Class: CNTX. . Disposition: Log Note Only.",09:55,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100059Occurred at Rfp Lumber Co., Inc. on Feather River Blvd. , in Oroville. 911 HANG UP FROM A LAND LINE. ON CALL BACK PHONE PICKED AND HUNG UP. ON 2ND CALL BACK RP ADVISED PHONE WAS MISDIALED. Service Class: CNTX. . Disposition: Log Note Only."
"10:15    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100061Occurred on Campbell St, in Durham. 911 HANG UP. RP ADVISED THAT A CHILD WAS PLAYING WITH THE PHONE AND MISDIALED Service Class: VOIP. . Disposition: Log Note Only.",10:15,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100061Occurred on Campbell St, in Durham. 911 HANG UP. RP ADVISED THAT A CHILD WAS PLAYING WITH THE PHONE AND MISDIALED Service Class: VOIP. . Disposition: Log Note Only."
"10:17    SUSPICIOUS CIRCUMSTANCES                                1904100062Occurred at Butte County Sheriffs Office on Gillick Way. , in Oroville. RP ADVISED THAT HE HAS VIDEO SHOWING SUSPECTS IN HIS CASE LEAVING HIS RESD AFTER THE CRIME. HE WOULD LIKE TO SPEAK WITH A DEPUTY ABOUT IT. REF INCIDENT 1904040131. . Disposition: No Report Taken.",10:17,"    SUSPICIOUS CIRCUMSTANCES                                1904100062Occurred at Butte County Sheriffs Office on Gillick Way. , in Oroville. RP ADVISED THAT HE HAS VIDEO SHOWING SUSPECTS IN HIS CASE LEAVING HIS RESD AFTER THE CRIME. HE WOULD LIKE TO SPEAK WITH A DEPUTY ABOUT IT. REF INCIDENT 1904040131. . Disposition: No Report Taken."
"10:19    SUSPICIOUS PERSON                                       1904100063Officer initiated activity at Guill St/Virginia St, Chico. . Disposition: Arrest Made.",10:19,"    SUSPICIOUS PERSON                                       1904100063Officer initiated activity at Guill St/Virginia St, Chico. . Disposition: Arrest Made."
"10:33    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100064Occurred on Douglas Way, in Marysville. 911 HANG UP. ON CALL BACK NEG ANSWER MSG LEFT41 METERS / 90 %Cellular E911 Call: Service Class: W911. . Disposition: Referred To Other Agency.",10:33,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100064Occurred on Douglas Way, in Marysville. 911 HANG UP. ON CALL BACK NEG ANSWER MSG LEFT41 METERS / 90 %Cellular E911 Call: Service Class: W911. . Disposition: Referred To Other Agency."
10:33    TRAFFIC STOP                                            1904100065Officer initiated activity at Skyway/Firhaven. . Disposition: Warning (Cite/Verbal).,10:33,    TRAFFIC STOP                                            1904100065Officer initiated activity at Skyway/Firhaven. . Disposition: Warning (Cite/Verbal).
"10:51    TRANSFERRED CALL-ALLIED AGENCY                          1904100071Occurred at Gold Pan Ct/La Porte Rd, in Bangor. RP ADVISED OF A VEHICLE THAT LOOKS TO BE ABANDONED. VEH: BLUE FORD PICK UP. . Disposition: Referred To Other Agency.",10:51,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100071Occurred at Gold Pan Ct/La Porte Rd, in Bangor. RP ADVISED OF A VEHICLE THAT LOOKS TO BE ABANDONED. VEH: BLUE FORD PICK UP. . Disposition: Referred To Other Agency."
"10:52    TRANSFERRED CALL-ALLIED AGENCY                          1904100072Occurred on La Porte Rd, in Bangor. TRANSFERRED TO CHPREFER TO INCIDENT 1904100056Service Class: RESD. . Disposition: Transfer Other Agency.",10:52,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100072Occurred on La Porte Rd, in Bangor. TRANSFERRED TO CHPREFER TO INCIDENT 1904100056Service Class: RESD. . Disposition: Transfer Other Agency."
