event_date,event_name,result,fighter,method,referee,rounds,time
2019-03-02,UFC 235 - Jones vs. Smith,win,Anthony Smith,Decision = Unanimous,Herb Dean,5,5:00
2018-12-29,UFC 232 - Jones vs. Gustafsson 2,win,Alexander Gustafsson,KO = Punches,Mike Beltran,3,2:02
2017-07-29,UFC 214 - Cormier vs. Jones 2,NC,Daniel Cormier,NC = Overturned by CSAC,John McCarthy,3,3:01
2016-04-23,UFC 197 - Jones vs. St. Preux,win,Ovince St. Preux,Decision = Unanimous,Herb Dean,5,5:00
2015-01-03,UFC 182 - Jones vs. Cormier,win,Daniel Cormier,Decision = Unanimous,Herb Dean,5,5:00
2014-04-26,UFC 172 - Jones vs. Teixeira,win,Glover Teixeira,Decision = Unanimous,Dan Miragliotta,5,5:00
2013-09-21,UFC 165 - Jones vs. Gustafsson,win,Alexander Gustafsson,Decision = Unanimous,John McCarthy,5,5:00
2013-04-27,UFC 159 - Jones vs. Sonnen,win,Chael Sonnen,TKO = Elbows and Punches,Keith Peterson,1,4:33
2012-09-22,UFC 152 - Jones vs. Belfort,win,Vitor Belfort,Submission = Keylock,John McCarthy,4,0:54
2012-04-21,UFC 145 - Jones vs. Evans,win,Rashad Evans,Decision = Unanimous,Herb Dean,5,5:00
2011-12-10,UFC 140 - Jones vs. Machida,win,Lyoto Machida,Technical Submission = Guillotine Choke,John McCarthy,2,4:26
2011-09-24,UFC 135 - Jones vs. Rampage,win,Quinton Jackson,Submission = Rear-Naked Choke,Josh Rosenthal,4,1:14
2011-03-19,UFC 128 - Shogun vs. Jones,win,Mauricio Rua,TKO = Punches and Knees,Herb Dean,3,2:37
2011-02-05,UFC 126 - Silva vs. Belfort,win,Ryan Bader,Submission = Guillotine Choke,Herb Dean,2,4:20
2010-08-01,UFC Live 2 - Jones vs. Matyushenko,win,Vladimir Matyushenko,TKO = Elbows,Herb Dean,1,1:52
2010-03-21,UFC Live 1 - Vera vs. Jones,win,Brandon Vera,TKO = Elbows and Punches,Herb Dean,1,3:19
2009-12-05,UFC - The Ultimate Fighter 10 Finale,loss,Matt Hamill,DQ = Illegal Downward Elbows,Steve Mazzagatti,1,4:14
2009-07-11,UFC 100 - Lesnar vs. Mir 2,win,Jake O'Brien,Submission = Guillotine Choke,Yves Lavigne,2,2:43
2009-01-31,UFC 94 - St. Pierre vs. Penn 2,win,Stephan Bonnar,Decision = Unanimous,Steve Mazzagatti,3,5:00
2008-08-09,UFC 87 - Seek and Destroy,win,Andre Gusmao,Decision = Unanimous,Daryl Guthmiller,3,5:00
2008-07-12,BCX 5 - Battle Cage Xtreme 5,win,Moyses Gabin,TKO = Punches,Kevin Mulhall,2,1:58
2008-06-20,WCF - World Championship Fighting 3,win,Parker Porter,KO = Punch,N/A,1,0:36
2008-05-09,USFL - War in the Woods 3,win,Ryan Verrett,TKO = Punches,N/A,1,0:14
2008-04-25,ICE Fighter - ICE Fighter,win,Anthony Pina,Submission = Guillotine Choke,N/A,1,1:15
2008-04-19,BCX 4 - Battle Cage Xtreme 4,win,Carlos Eduardo,KO = Punches,Kevin Mulhall,3,0:24
2008-04-12,FFP - Untamed 20,win,Brad Bernard,TKO = Punches,N/A,1,1:32
