result,fighter,event,method_referee,rounds,time
win,Anthony Smith,UFC 235 - Jones vs. SmithMar / 02 / 2019,Decision (Unanimous)Herb Dean,5,5:00
win,Alexander Gustafsson,UFC 232 - Jones vs. Gustafsson 2Dec / 29 / 2018,KO (Punches)Mike Beltran,3,2:02
NC,Daniel Cormier,UFC 214 - Cormier vs. Jones 2Jul / 29 / 2017,NC (Overturned by CSAC)John McCarthy,3,3:01
win,Ovince St. Preux,UFC 197 - Jones vs. St. PreuxApr / 23 / 2016,Decision (Unanimous)Herb Dean,5,5:00
win,Daniel Cormier,UFC 182 - Jones vs. CormierJan / 03 / 2015,Decision (Unanimous)Herb Dean,5,5:00
win,Glover Teixeira,UFC 172 - Jones vs. TeixeiraApr / 26 / 2014,Decision (Unanimous)Dan Miragliotta,5,5:00
win,Alexander Gustafsson,UFC 165 - Jones vs. GustafssonSep / 21 / 2013,Decision (Unanimous)John McCarthy,5,5:00
win,Chael Sonnen,UFC 159 - Jones vs. SonnenApr / 27 / 2013,TKO (Elbows and Punches)Keith Peterson,1,4:33
win,Vitor Belfort,UFC 152 - Jones vs. BelfortSep / 22 / 2012,Submission (Keylock)John McCarthy,4,0:54
win,Rashad Evans,UFC 145 - Jones vs. EvansApr / 21 / 2012,Decision (Unanimous)Herb Dean,5,5:00
win,Lyoto Machida,UFC 140 - Jones vs. MachidaDec / 10 / 2011,Technical Submission (Guillotine Choke)John McCarthy,2,4:26
win,Quinton Jackson,UFC 135 - Jones vs. RampageSep / 24 / 2011,Submission (Rear-Naked Choke)Josh Rosenthal,4,1:14
win,Mauricio Rua,UFC 128 - Shogun vs. JonesMar / 19 / 2011,TKO (Punches and Knees)Herb Dean,3,2:37
win,Ryan Bader,UFC 126 - Silva vs. BelfortFeb / 05 / 2011,Submission (Guillotine Choke)Herb Dean,2,4:20
win,Vladimir Matyushenko,UFC Live 2 - Jones vs. MatyushenkoAug / 01 / 2010,TKO (Elbows)Herb Dean,1,1:52
win,Brandon Vera,UFC Live 1 - Vera vs. JonesMar / 21 / 2010,TKO (Elbows and Punches)Herb Dean,1,3:19
loss,Matt Hamill,UFC - The Ultimate Fighter 10 FinaleDec / 05 / 2009,DQ (Illegal Downward Elbows)Steve Mazzagatti,1,4:14
win,Jake O'Brien,UFC 100 - Lesnar vs. Mir 2Jul / 11 / 2009,Submission (Guillotine Choke)Yves Lavigne,2,2:43
win,Stephan Bonnar,UFC 94 - St. Pierre vs. Penn 2Jan / 31 / 2009,Decision (Unanimous)Steve Mazzagatti,3,5:00
win,Andre Gusmao,UFC 87 - Seek and DestroyAug / 09 / 2008,Decision (Unanimous)Daryl Guthmiller,3,5:00
win,Moyses Gabin,BCX 5 - Battle Cage Xtreme 5Jul / 12 / 2008,TKO (Punches)Kevin Mulhall,2,1:58
win,Parker Porter,WCF - World Championship Fighting 3Jun / 20 / 2008,KO (Punch)N/A,1,0:36
win,Ryan Verrett,USFL - War in the Woods 3May / 09 / 2008,TKO (Punches)N/A,1,0:14
win,Anthony Pina,ICE Fighter - ICE FighterApr / 25 / 2008,Submission (Guillotine Choke)N/A,1,1:15
win,Carlos Eduardo,BCX 4 - Battle Cage Xtreme 4Apr / 19 / 2008,KO (Punches)Kevin Mulhall,3,0:24
win,Brad Bernard,FFP - Untamed 20Apr / 12 / 2008,TKO (Punches)N/A,1,1:32
