id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
oO3wTulizvg,4446789,48699,1396,0,2098
ZX5MHNvjw7o,19266680,150691,6878,0,8345
MvZ-clcMCec,6233018,65272,1530,0,5130
4trBQseIkkc,8867404,92259,2189,0,5337
JBC-9k3y1ew,7860341,56584,1405,0,2878
2z3wUD3AZg4,12847179,144625,3172,0,9071
fKIwj1TQmFs,8946652,63902,1779,0,4613
7JjLd3MufCE,6247881,53108,1258,0,2762
HeOVbeh2yr0,6254585,55419,1387,0,3675
zR7LOtMix9w,5186509,56466,1018,0,2255
EG0wQRsXLi4,19373859,229719,4829,0,11767
X-zSJljpKNc,4116054,46103,737,0,2557
pfz0tDQZhqs,4899814,64797,1281,0,3442
kB5XXn0eKow,6968851,47029,1176,0,2450
ZgNFiYbSr4I,3039064,16293,539,0,926
CTdDSYdq4d8,724035,14093,250,0,663
oDcA9BIB_NQ,7626958,57992,1674,0,1709
RhaifCEZks4,4734714,39945,1313,0,1411
9DLuALBnolM,6874686,74404,1333,0,5116
FRZN7IzvCVs,4841345,28525,734,0,1512
XXc3O6GMZt0,8184208,63560,1557,0,2280
iLsvH7_EF34,3269330,26820,654,0,1040
j-emlb2_jdI,1316787,9920,225,0,445
eafRE74JGZ8,3960825,46798,904,0,4743
f059lvvbDyo,2287772,24735,540,0,1821
ZdVAH8Z5O90,5897136,42205,842,0,1768
vAjMXH5JQiY,1546600,11644,341,0,503
yvwlEPyi6Y4,8177603,52374,1657,0,2111
LVzxZcB31Jg,1789894,20287,342,0,1056
AH-Dm-sDgtE,2012686,22436,312,0,1297
Ll3MHIBmDGU,1113699,7318,344,0,514
D7oXFmuUHLQ,7948527,65317,1289,0,4060
4eHMgXlugIU,10488187,53851,1392,0,2167
uWYdJpHFmSM,1945844,12981,259,0,462
neUsrOzJ8T8,1040527,7756,268,0,371
p3p2GrSO6JI,4434558,36928,744,0,1454
wJPsR6GM2yU,2052706,16587,541,0,1699
zhUnEg0he4A,1250155,13467,220,0,462
lbqgAByAKao,1298246,11603,246,0,349
ff8LEx9Mw54,5379303,46381,774,0,2497
Jpo0IKtYQkA,10179,68,36,0,10
2-RwPfxtOO0,1899571,18906,362,0,861
ddIz-ydl6Yk,3161793,23751,363,0,1162
fjTUZtpLLSc,199722,1068,39,0,244
L-Vdfoz7rVQ,12388971,55089,4892,0,5382
86E3e_i4SKE,111284,626,45,0,43
ClEwU46epmY,462658,4518,250,0,270
pbk30zUfbUA,2228205,3798,458,0,234
qn6gjCC-UBU,333679,2825,89,0,130
nXtMNTb_FYM,2589875,24148,264,0,1203
Jr2Sd1MI8Mg,841413,4657,175,0,398
QLdKZ0N3S5E,262906,2273,103,0,169
F8IfiyF5OSE,5891,81,11,0,6
K-50UFUC5YI,52960,401,9,0,11
lQ4hYdxMIzY,16083,90,8,0,6
Xx0yzU8R55c,333,16,0,0,4
uPBD7CHbjYc,93367,807,14,0,155
INvVLXGJbo8,1022,19,0,0,3
AGnQrJAwWsk,49424,1968,25,0,487
Et4MrTvY3zY,1672,17,0,0,5
vfZzBxrnLNU,47136,645,17,0,100
x6Eky0Yyikc,651198,7099,111,0,582
HIaWNz-susE,357309,2211,73,0,109
2MZZ__5F_-A,3012254,66428,2640,0,7117
toAEQTsidvg,304963,757,20,0,77
pZ_R4glgnOg,1145057,10330,1006,0,922
C-L06Plh8wo,397,5,1,0,0
fYTBvipKsyA,29744,410,78,0,73
QOhq4yDUwoM,23,1,0,0,0
zGnFTdwe2sM,295413,1413,49,0,87
Q3I9ENHz_UA,5302,5,5,0,0
YT6OFZBAsbY,77670,308,13,0,23
rmc_HC4MVUU,64656,371,10,0,13
B-hynjEdTaY,4877477,33596,1192,0,1676
gZWb5nSSbtc,288908,1264,39,0,88
V4zHD4xfa6s,204732,2935,44,0,442
Z0S9VEm3bT4,451582,779,34,0,57
x8CuIpfOoaM,86,0,0,0,0
W7UErDmH8Cw,11471,39,7,0,2
1N5p8IXzNdc,1131031,2846,94,0,167
qOpf5L0Ehgk,112162,422,16,0,68
NiWRxkHUr80,23985,126,6,0,6
PTjQUHbYbrE,186112,1712,79,0,185
B-BwAWHRjdU,1906401,14465,896,0,1284
iLg4ymNDguc,1217,2,1,0,0
YR-9epAXXe8,NA,33,14,0,0
Sm16553pXJc,308,0,0,0,1
ZSedEuYgFqk,860,4,0,0,3
iT7E279yuic,199,0,0,0,0
wqSHVtcsYJs,167242,3928,189,0,651
8L6H4oh4EyI,3273,66,2,0,30
UeqLYhrg1wI,143101,510,11,0,90
85FDEO0n8wM,92726,372,11,0,33
jcnmyOFT418,73,0,0,0,0
Zf0hjLJZFng,219537,840,18,0,40
2kvns1iw9hA,218,20,1,0,17
kku2LvTY2Ic,NA,79,52,0,0
oTZETtLCZZ0,50802,156,10,0,5
qcUAvb1WsFg,24414,47,3,0,7
zNyqYOUxBrY,4538347,52840,1488,0,1833
Ze4nm4lM2P4,388,2,0,0,0
tjtgcKNrvZA,NA,43,17,0,0
Jhs6TYBkx4s,28255,90,5,0,2
0-WKNwgMYxM,1033,29,6,0,14
LoOlSzGuQ9A,13326,190,14,0,21
LqOBynds_4Y,15449,143,14,0,9
tR6EPGUJLok,441,15,1,0,0
bC5LaHUnQMA,88593,502,16,0,38
MeNQp55xM4o,99,0,0,0,0
8WZ14Lcu-_E,79983,314,37,0,97
APgrUnNQPQw,610392,1057,32,0,48
7mKXu-ZkQbk,64187,1078,39,0,159
q1H8hAkwwfA,1064,4,1,0,NA
lWSZSusKOU4,822,0,0,0,0
phQYoNOqZcU,14253,22,1,0,0
c_FCbtlVYLw,627094,2852,121,0,242
lNY6NxOgqDc,212,1,0,0,0
OBgrXxTnTGY,23736,370,29,0,55
YGE0AGmMXkk,187276,360,38,0,57
-ynHKhRn2cg,81887,212,6,0,15
BzEUwfgk0jc,40452,380,4,0,34
mpOKjMgtk44,44550,202,13,0,4
Zdclniun2WE,8686,NA,NA,0,19
efHo3q2qVeg,225083,109,43,0,37
NRApcl9jVMo,128,2,0,0,2
Rfrp8T8Fi8s,112108,531,27,0,80
u83A_IDEHU0,239,0,0,0,0
X3tBstIsWNQ,118788,1009,119,0,86
N2mhP6HGHJQ,253,0,0,0,1
7rYquDaQCQU,571,8,4,0,0
0LrpSqrS15s,6036,45,4,0,16
6Akkg65Wizw,143430,1365,10,0,123
2ONHzLnh1rc,335463,3934,144,0,845
W9amD8YHRnk,45641,43,0,0,0
NsUOp2n3omE,6335,80,3,0,17
j-S_JrVoAKY,682,4,0,0,2
C9aHo4L0-M4,13869,23,17,0,2
pMmh5nsCtxI,1472,3,1,0,2
Q_4bp8bBNVw,1071628,12117,142,0,518
aEbaetek-V8,44777,275,7,0,15
aqpfWj-927g,8991,29,1,0,1
3VkFOtyc1JQ,75840,93,30,0,12
kMFJBd40Awo,1095213,5577,85,0,329
zPwfMDQIXEQ,35078,76,4,0,6
8j-R8n6Q0PY,284,1,1,0,0
a4gouVipJ5o,85,1,0,0,0
zen5LjBFTI4,1854,8,0,0,0
masCbpUgwak,250646,977,95,0,86
mZKvj4k8Q-o,1098,3,2,0,0
-j9ydGyM9fU,145487,207,23,0,15
UAazxxeuQ0o,1881,1,2,0,2
1y5ITJ5nrAY,14693,462,16,0,143
sNfP0AZs454,6396,39,7,0,4
izJh9SU5ePA,3605,63,1,0,8
BIwU1e0_UwQ,1842822,15799,510,0,NA
eZD2x4StAlc,201,1,1,0,1
PHwWBarKgzo,125,0,0,0,0
ux_mrnCYYzY,16649,172,44,0,25
joYnqcrkMXY,8076,201,9,0,27
JbmKJ6225M8,1365,5,2,0,0
EigAtgL6Yds,31833,120,0,0,9
kV6mFg_7VBo,277394,1385,215,0,1028
qpgSi42d0j0,338,1,1,0,0
75Mn5OtM8xc,4558,330,8,0,52
MVYug8cHLIM,908258,1914,55,0,249
f9CSPjDNdU0,78041,464,7,0,NA
--KeIeIprGk,51,5,0,0,0
Tzzu4-uMhds,104724,761,76,0,145
v2x3jxSFu14,51848,209,5,0,0
wCblu2ngVck,148791,218,9,0,5
i1_a4v8-M6A,104,1,0,0,0
4mFrKloMw2k,13607,160,6,0,11
5-f2Rzw9gLs,782,21,0,0,1
32LpVrHcEn4,656545,6694,468,0,1792
MzlHI6FfixM,102,0,0,0,0
Wnc_iugMIPE,6683,31,2,0,2
YbxaJMw2_DA,54495,593,125,0,106
DKuBem78QnY,294931,9274,142,0,NA
HwDnLe9s81k,28,1,0,0,0
mwDgexdXlWo,944,21,2,0,1
luoYCYyAWa0,275032,487,34,0,58
3-TIHNVhviA,444,2,0,0,1
aiWQxZprZ1s,543,0,1,0,0
Gp9EL3asrPQ,647561,4556,45,0,283
0wELwGMjrGM,426,1,0,0,0
16Cbbf3IIuk,4813,14,1,0,2
BV7xVoKYxGA,611,2,1,0,0
i1f4kRskNiY,257136,929,41,0,132
Y9bbP4ydYyU,54993,104,11,0,20
og9XWHKfutQ,120534,NA,NA,0,26
g7BAot3zDVI,136,6,0,0,1
7w6-lFMgar0,7801,91,21,0,11
XaStIgx8VEo,12685,67,3,0,5
0F_ZxaZqCnc,NA,117,53,0,0
gwqrP2_mvog,734,1,0,0,0
fuGGGSHK4Og,4267,76,6,0,13
-1VhigA7o88,1924551,20199,364,0,920
QnLwnXt5WZw,48,0,0,0,0
qPr-xsQvhgw,1411901,4813,85,0,282
qSmR_KU3JH0,799,17,3,0,5
