.id,kind,etag,id,contentDetails.videoId,contentDetails.videoPublishedAt
items1,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/G-gTM9F7jVd-cgKI0e5v7f35Dxs""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC44NkI4RjE5QjA2Qjg4MUY1,oO3wTulizvg,2019-04-28T16:00:07.000Z
items2,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/4QP1G0zMwwfjbiCimKWrk3l1c7Q""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4wMjE2NkI1RUU4QTM5REZE,ZX5MHNvjw7o,2017-12-31T05:21:22.000Z
items3,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/gCgrRNY2RdN2SWCnaapzIwfvxZc""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4yNTI2NzMwOENBMUQ4MTNC,MvZ-clcMCec,2018-11-06T18:00:04.000Z
items4,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/Pu-bgMZrZx2aD9iDRXreW8d8bEQ""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC40NUMyQzc5NUE2N0YwRTk3,4trBQseIkkc,2018-10-04T20:00:00.000Z
items5,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/JU72UY2O4B4NMNlSj02ybUQvF3Q""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5GRkEyRjI3NkM4RjQ3OTY3,JBC-9k3y1ew,2018-02-23T08:00:01.000Z
items6,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/U2KRXMLxdYqiHM0GYsdLHjf3KZI""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5CNEFDN0ZFQUEyQzgwMzJC,2z3wUD3AZg4,2017-12-31T05:09:50.000Z
items7,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/8QLEZSoq7Iii577ox4XtIpfae_M""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC43ODdGOUNBNDVDRUE1MzJE,fKIwj1TQmFs,2017-12-31T05:10:23.000Z
items8,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/8Ux-Pn4WOOz-rt9A1emEFYpjl5g""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC4xRTkzNjE5OTE2MzYyQTVE,7JjLd3MufCE,2018-02-25T19:00:01.000Z
items9,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/DvcbRmfAPXh0HL1GWH99ubriTEE""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC5FNTZEREJEMUZEOEExNzU2,HeOVbeh2yr0,2018-03-01T18:00:02.000Z
items10,youtube#playlistItem,"""p4VTdlkQv3HQeTEaXgvLePAydmU/8qEJSPxN69yFUtv5A89KYUcLdKg""",UExHNkhvZVNDM3JhRS1FQjhyX3ZWRE9zLTU5a2czU3B2ZC45RTAwNDg5NkVEMDI5NjJE,zR7LOtMix9w,2018-02-24T08:00:03.000Z
