published_at,dislike_count,url,id,comment_count,title,view_count,like_count,host
2015-10-05T23:57:09Z,11184,https://i.ytimg.com/vi/yEPSJF7BYOo/default.jpg,yEPSJF7BYOo,8130,The Daily Show - Admiral General Aladeen,19159013,161732,Jon
2014-12-05T17:01:33Z,1065,https://i.ytimg.com/vi/AHO1a1kvZGo/default.jpg,AHO1a1kvZGo,2486,The Daily Show - Spot the Africa,5624319,38442,Jon
2014-09-23T22:12:10Z,722,https://i.ytimg.com/vi/lPgZfhnCAdI/default.jpg,lPgZfhnCAdI,3616,The Daily Show - Burn Noticed,5223787,39755,Jon
2013-04-24T10:02:53Z,2469,https://i.ytimg.com/vi/9pOiOhxujsE/default.jpg,9pOiOhxujsE,17629,The Daily Show - Gun Control Whoop-de-doo,5134669,47906,Jon
2014-06-17T22:01:45Z,654,https://i.ytimg.com/vi/aqzzWr32srk/default.jpg,aqzzWr32srk,2689,The Daily Show - Now That's What I Call Being Completely F**king Wrong About Iraq,4920942,25499,Jon
2014-08-28T15:07:03Z,917,https://i.ytimg.com/vi/T_98ojjIZDI/default.jpg,T_98ojjIZDI,2704,The Daily Show - Race/Off,4347723,30986,Jon
2015-04-08T15:57:17Z,547,https://i.ytimg.com/vi/TCCYCSACA2Y/default.jpg,TCCYCSACA2Y,1887,The Daily Show - Peter Dinklage,4160610,25640,Jon
2015-06-04T14:07:50Z,2846,https://i.ytimg.com/vi/hSTywVwZCjw/default.jpg,hSTywVwZCjw,3422,The Daily Show - Minhaj's Muslim Makeover,3898493,49200,Jon
2013-10-10T19:21:49Z,1449,https://i.ytimg.com/vi/gjGL6YY6oMs/default.jpg,gjGL6YY6oMs,6229,The Daily Show - Malala Yousafzai Extended Interview,3865546,47948,Jon
2015-06-23T13:21:10Z,2295,https://i.ytimg.com/vi/X1UZWXKEhV8/default.jpg,X1UZWXKEhV8,4522,The Daily Show - Wack Flag,3823292,31993,Jon
