opponent,fight_loc,fight_number,2013-10-12,2014-03-01,2014-06-21,2014-11-22,2015-05-02,2015-11-07,2016-06-11,2016-11-26,2017-04-08,2017-08-05,2017-12-09,2018-05-12,2018-12-08,2019-04-12,result,fight_record,round_time,notes
José Ramírez,"Thomas & Mack Center, Paradise, Nevada, US",1,Win,,,,,,,,,,,,,,TKO,1–0,"4 (10), 2:55",Won WBO International featherweight title
Orlando Salido,"Alamodome, San Antonio, Texas, US",2,,Loss,,,,,,,,,,,,,SD,1–1,12,For vacant WBO featherweight title
Gary Russell Jr.,"StubHub Center, Carson, California, US",3,,,Win,,,,,,,,,,,,MD,2–1,12,Won vacant WBO featherweight title
Chonlatarn Piriyapinyo,"Cotai Arena, Macau, SAR",4,,,,Win,,,,,,,,,,,UD,3–1,12,Retained WBO featherweight title
Gamalier Rodríguez,"MGM Grand Garden Arena, Paradise, Nevada, US",5,,,,,Win,,,,,,,,,,KO,4–1,"9 (12), 0:50",Retained WBO featherweight title
Romulo Koasicha,"Thomas & Mack Center, Paradise, Nevada, US",6,,,,,,Win,,,,,,,,,KO,5–1,"10 (12), 2:35",Retained WBO featherweight title
Román Martínez,"The Theater at Madison Square Garden, New York City, New York, US",7,,,,,,,Win,,,,,,,,KO,6–1,"5 (12), 1:09",Won WBO junior lightweight title
Nicholas Walters,"Cosmopolitan of Las Vegas, Paradise, Nevada, US",8,,,,,,,,Win,,,,,,,RTD,7–1,"7 (12), 3:00",Retained WBO junior lightweight title
Jason Sosa,"MGM National Harbor, Oxon Hill, Maryland, US",9,,,,,,,,,Win,,,,,,RTD,8–1,"9 (12), 3:00",Retained WBO junior lightweight title
Miguel Marriaga,"Microsoft Theater, Los Angeles, California, US",10,,,,,,,,,,Win,,,,,RTD,9–1,"7 (12), 3:00",Retained WBO junior lightweight title
Guillermo Rigondeaux,"The Theater at Madison Square Garden, New York City, New York, US",11,,,,,,,,,,,Win,,,,RTD,10–1,"6 (12), 3:00",Retained WBO junior lightweight title
Jorge Linares,"Madison Square Garden, New York City, New York, US",12,,,,,,,,,,,,Win,,,TKO,11–1,"10 (12), 2:08",Won WBA (Super) and The Ring lightweight titles
José Pedraza,"Hulu Theater, New York City, New York, US",13,,,,,,,,,,,,,Win,,UD,12–1,12,Retained WBA (Super) and The Ring lightweight titles;Won WBO lightweight title
Anthony Crolla,"Staples Center, Los Angeles, California, US",14,,,,,,,,,,,,,,N/A,N/A,N/A,– (12),"Defending WBA (Super), WBO, and The Ring lightweight titles"
