Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,,,,,,,,,,,,,7.033741836,8.550115918,9.590900219,7.231729801,6.316059799,6.152599816,5.454672042,7.758435542,7.877186668,6.692599819,6.100922677,4.435801996,6.133214031,5.673843057,5.091244747,4.958246094,5.208420669,5.364689764,4.587136353,3.479652349,3.349388167,3.548480351,3.64124088,3.310532615,3.715693377,3.55452507,3.317224091,3.328311934,3.386805167,3.837365258,4.309356054,3.18078577,3.378294167,3.161271122,2.976711476,2.401401649,2.520336033,2.466768133,2.378230484,2.466406797,2.446974566,2.481114851,2.405859435,2.384478722
Brazil,20.59281427,19.49661001,17.35049021,16.79391435,17.28611786,18.70991783,15.69293862,15.10875991,14.0502916,13.21590683,12.34526314,12.85925947,12.99468155,13.35748722,12.92023444,12.09889632,13.00439895,14.67498588,11.61129227,11.01609103,11.01366772,10.73569424,8.967900584,10.93790659,11.46086133,11.54090033,11.15718936,10.0097597,10.11553876,8.518876828,8.1,7.789980585,7.719997556,7.559999723,9.850263575,5.771250392,5.454190235,5.330788546,5.398648212,5.365010542,5.5232778,5.637964981,6.417422576,7.20396922,6.673477811,5.478460422,5.13807221,5.180019383,5.408461601,5.23598111,4.842255501,5.111281406,4.912478839,5.294368567,5.222681319,5.214794495
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.507223645,1.702723597,1.471931202,1.423286626,1.713832903,1.760044923,,,
China,23.38366507,36.1557377,39.42399722,40.33892808,38.44566713,37.94067945,37.59100642,40.26157055,42.15077477,37.98957635,35.21551915,34.05456644,32.8581073,33.35293469,33.8721818,32.39915924,32.84981486,29.423155,27.8998411,30.94869336,29.8664206,31.55509279,33.0320645,32.81344133,31.76591063,28.11535526,26.81107403,26.47700418,25.36901285,24.73917953,26.72270071,24.15382156,21.4272784,19.38757414,19.54494053,19.66307758,19.38990364,17.95881883,17.22120973,16.13091364,14.74919395,14.05744425,13.37878713,12.4251087,13.0055552,11.72888252,10.71090884,10.36604067,10.33838177,9.881688237,9.624434157,9.533373199,9.528270884,9.408153982,9.173638039,8.993985292
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.168680694,1.062180017,1.0100991,1.027710418,1.044574113,1.094632869,1.083223812,1.027568525,1.012332193,1.056652474,1.150091628,0.946233481,0.867004744,1.002028551,0.758758284,0.780194848,0.825476704,0.894490089,0.736124275,0.719302062,0.822337668,0.771841365,0.789952934,0.682515659,0.549457815
France,,,,,,8.947808471,8.736553643,8.668568393,8.342099418,7.717705656,7.517912619,6.871026595,7.682382706,7.62374632,6.090329198,5.404459247,5.145516895,4.830044595,4.686644313,4.675032366,4.061010345,3.968469158,4.554185643,4.043649445,3.777225487,3.758087683,3.632671727,3.471838547,3.206121238,3.503436449,3.504142543,2.918489792,2.879821556,2.550445916,2.684785245,2.734022603,2.699308529,2.630479628,2.649897409,2.507472363,2.343107094,2.344788899,2.234435829,2.055818201,2.029061387,1.87292852,1.697959725,1.800298943,1.686712781,1.464522041,1.781916754,1.840715697,1.818997038,1.62716001,1.730898093,1.736258382
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.477654354,1.457517224,1.437401914,1.445418611,1.485601405,1.534375922,1.333600283,1.182985913,1.067195867,1.000024385,0.917435203,0.872152516,0.842865263,0.886261123,0.892871454,0.662398232,0.642077726,0.649077469,0.718288725,0.616607849,0.737903364,0.686491404,0.681865907,0.693897657,0.689721616,0.679903289
India,42.56113077,41.77396998,39.88879801,41.07578476,42.95912714,40.91357105,41.81413068,44.52619872,43.5220435,43.2851106,41.95454129,40.28151791,40.27729047,43.30957251,40.30983872,37.61798376,35.75331226,37.09042616,35.46784066,33.62535002,35.389418,34.0687992,32.8793374,33.5448506,32.21043287,30.8926173,29.73839588,29.1824395,30.19921335,28.97085052,29.02333395,29.38952435,28.73564928,28.67697144,28.27199437,26.25640452,27.12742197,25.88700833,25.79098082,24.50227807,23.02185278,22.92230619,20.69574147,20.7427547,19.02855235,18.81054342,18.28822509,18.2562719,17.78433237,17.73663649,18.20542941,18.52570889,18.24965448,18.32661405,17.39173374,
Japan,,,,,,,,,,,5.141858412,4.44980206,4.558253489,4.906029374,4.651418702,4.582563186,4.437138063,4.246382394,3.872617386,3.629529376,3.08335702,2.967512256,2.874776164,2.847005183,2.807751073,2.699601981,2.54530689,2.388794924,2.242563263,2.182244984,2.121729655,1.978645762,1.88714781,1.727592312,1.98053689,1.750247405,1.766857253,1.629239106,1.71410149,1.679166272,1.589907305,1.454793699,1.466538532,1.392887721,1.325123179,1.220057386,1.183649926,1.148915042,1.147462466,1.164065364,1.181265673,1.156953985,1.214141647,1.196704865,1.173447853,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.382525903,1.256535233,1.190550642,1.189219338,1.164848337,1.002199564,1.168204218,1.294525739,1.17902686,1.057632754,1.086915319,1.152771009,1.05626864,1.174091393,1.366778271,1.241406556,1.451813696,1.334239276,
