Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,,,,,,,,,,,,,39.10026081,38.67500047,37.19316592,38.68854639,39.02180281,38.59549237,37.93999957,37.468109,37.83941497,39.10979933,37.82810005,36.71415868,36.75865509,37.3278853,37.04769502,34.56945371,33.05259503,31.36004255,31.34365047,30.23804294,29.478115,29.17129246,29.12761455,28.98450795,28.47346845,27.64424252,27.73287947,26.85508592,26.77689754,25.96850007,25.78595468,26.38355898,26.20441706,26.77620732,27.88820376,27.89648869,27.73370936,28.93649513,27.10786201,28.55115918,28.28001618,26.86499849,27.06539553,27.12436073
Brazil,37.06666983,41.74523601,33.3290518,38.60157171,34.95284501,33.57941884,35.12434628,33.85067648,36.45972359,37.36154948,38.30063068,38.20370275,38.4372901,39.00407346,40.06270545,40.17375706,39.71227908,38.6445792,40.13391181,40.63710902,43.8252223,43.71939624,45.58770651,43.95191403,45.71468926,45.3126038,45.16037824,45.88013003,43.64606391,42.6709727,38.69,36.15992234,38.70000362,41.61000034,40.00258724,27.52588582,25.55275881,25.70884967,25.13869944,25.11280175,26.74905898,26.58650044,26.36626584,26.96426301,28.63225956,28.4720078,27.68188007,27.12064696,27.33349654,25.58883865,27.37519003,27.19108425,26.06376052,24.93746965,23.96854407,22.73650954
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.14588482,31.67454045,27.22083063,28.55106284,29.37529738,28.8839157,,,
China,44.48867536,31.87704918,31.26250761,33.04954188,35.31636864,35.09119515,37.98179872,33.98162241,31.18217167,35.55911038,40.49362987,42.15298384,43.05627259,43.11073542,42.72554572,45.72448537,45.42582464,47.13139074,47.55903786,46.79056961,47.90623078,45.80755803,44.45152822,44.05582703,42.75632066,42.55356807,43.36004191,43.17644726,43.40081186,42.3678929,40.89633169,41.35918339,43.00380888,46.08957812,46.08684347,46.681324,47.0374712,47.02774158,45.71996744,45.26958776,45.42762159,44.67381999,44.31695344,45.48821583,45.75184302,46.86889107,47.39736815,46.69266478,46.75520289,45.67036003,46.17351792,46.14324651,44.97098094,43.67377867,42.73630145,40.53120121
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.89903654,35.92028879,33.81912158,33.5389319,32.90655435,31.86172323,31.52256361,31.37174741,30.80873259,30.90663967,30.11447107,29.36391332,29.25033814,29.41525817,29.39758492,30.12413094,30.53158276,30.06319791,27.8077197,30.16253212,30.56685164,30.79895116,30.30730904,30.32801009,30.42036333
France,,,,,,34.38944546,34.15298746,33.65054722,33.04455661,32.88186779,32.54439995,33.00005626,32.32900608,32.40980989,31.89996901,31.6816554,31.24439766,30.90931485,30.94581568,30.71164852,30.70049647,29.86924103,29.22956724,28.99276056,28.48503605,28.38258153,28.11976274,27.68505874,27.6267657,26.90768702,26.91051222,26.68609078,26.22577645,25.18132355,24.43460143,24.51653645,23.90278288,23.71402363,23.60872355,23.34173925,23.34112744,22.90957212,22.55547458,22.06528971,21.84521424,21.5057667,21.25170224,21.06277632,20.67528636,20.04316714,19.60191718,19.8321923,19.69158504,19.83900168,19.56953081,19.50416063
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.59449145,30.93295226,30.28816527,29.51777873,29.92986318,30.00246839,30.08198102,29.11314568,27.84420892,26.63348735,27.05652472,25.57516412,25.11792335,24.04380917,23.11385692,23.29032761,23.28027065,22.61869704,22.21525296,20.86618757,20.77719525,20.96743462,20.76086839,21.28301897,20.94763847,20.16579074
India,19.29958101,19.93322804,20.60828981,20.54374131,19.63880063,20.43453657,20.06118131,18.77527451,19.34720968,20.10793571,20.47695222,21.23293554,21.29405046,20.15710003,21.47294883,22.19352257,23.4484097,23.19902506,24.25601355,25.01821526,24.28696895,25.12379607,25.19176688,25.22371164,25.57460411,25.69897896,25.88557597,25.92340698,25.79296701,26.52685835,26.49327042,25.40083576,25.76969943,25.49759978,26.40525287,27.40182116,26.59881937,26.41033523,25.7411217,25.22421888,25.99985845,25.08356068,26.17057368,26.00942339,27.92505818,28.13364443,28.84182691,29.03197639,28.28764061,27.75941723,27.15531166,32.50479925,31.7319806,30.80876001,30.00833046,
Japan,,,,,,,,,,,43.67063822,43.22176601,42.34602624,42.70263679,41.36586887,39.41063533,39.39587138,38.64643181,38.90463355,38.65381737,39.05796319,39.22062315,38.56887266,37.74508795,38.16985274,38.22655994,37.78036164,37.34055372,37.63304133,37.78582579,38.05359873,37.69278233,36.52955754,35.14924752,33.62858577,33.06329735,32.88490618,32.68792372,31.83980502,31.3183629,31.06496662,29.51027315,28.6735302,28.58967717,28.56226629,28.13155453,28.10934118,28.21359254,27.53577729,26.04434965,27.5368827,26.14259255,26.0264984,26.36775061,26.85841128,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.94726353,23.41509526,23.26302222,23.15624289,22.13450944,21.27075325,21.38254862,21.66340561,21.93348557,22.33654257,22.15690316,21.64892218,20.215854,20.39070263,20.62965554,20.54390932,20.63944207,20.6852981,
