Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,,,,,,,,,,,,,53.86599886,52.77488249,53.21593459,54.07972397,54.6621382,55.25190651,56.60533384,54.77345736,54.28340096,54.19759632,56.07098191,58.85003933,57.10813036,56.99827116,57.86106427,60.47230178,61.73898288,63.27526768,64.04783789,66.26086411,67.15088456,67.25836348,67.20917595,67.68322006,67.79066992,68.78500617,68.94140494,69.81099686,69.82709313,70.18575207,69.88960891,70.41142252,70.3857492,70.02118694,69.0878371,69.65282046,69.70176881,68.62950894,70.60267531,68.98243403,69.27300925,70.65388666,70.52874504,70.49116055
Brazil,42.34050458,38.75814634,49.32046196,44.60450932,47.76103487,47.71066407,49.1827151,51.04056361,49.48998481,49.42254369,49.35410601,48.9370379,48.56802826,47.63843939,47.01706015,47.72734662,47.28332199,46.68043493,48.25479592,48.34679995,45.16110998,45.54490953,45.4443929,45.11017938,42.82444941,43.14649587,43.68243239,44.11011027,46.23839733,48.81015047,53.21,56.04990673,53.57999882,50.82999994,50.14714919,66.70286379,68.99318477,68.96024227,69.46287912,69.52218771,67.72766322,67.77544532,67.21631158,65.83176777,64.69420246,66.04969457,67.18009652,67.69933366,67.25804186,69.17518024,67.78255447,67.69763434,69.02376064,69.76816178,70.80877461,72.04869597
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.34689154,66.62273595,71.30723817,70.02565054,68.91086971,69.35603938,,,
China,32.12765957,31.96721311,29.31349517,26.61153004,26.23796424,26.9681254,24.42719486,25.75680704,26.66705357,26.45131328,24.29085098,23.79244972,24.08562011,23.53632989,23.39510377,21.87635539,21.7243605,23.44545426,24.54112103,22.25827863,22.2251516,22.63734918,22.51828239,23.13073164,25.47776871,29.33218288,29.82791402,30.34654856,31.22951308,32.89351269,32.3809676,34.48745176,35.56891271,34.52312924,34.368216,33.65559842,33.57262516,35.01331369,37.05870503,38.5994986,39.82318446,41.26873576,42.30425943,42.08674869,41.24260178,41.40217261,41.89172302,42.94125724,42.90644691,44.44795174,44.20202346,44.32338029,45.50074839,46.91806804,48.09007624,50.47479872
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.93228277,63.0175312,65.17077932,65.43335768,66.04887154,67.0436439,67.39421257,67.60068406,68.17893522,68.03670786,68.7354373,69.6898532,69.88265711,69.58271328,69.84365679,69.09567422,68.64294053,69.04231201,71.45615603,69.11816582,68.61081069,68.42920747,68.90273803,68.98947425,69.03017886
France,,,,,,56.66274607,57.1104589,57.68088438,58.61334398,59.40042655,59.93768743,60.12891714,59.98861122,59.96644379,62.00970179,62.91388535,63.61008544,64.26064055,64.36754001,64.61331912,65.23849319,66.16228981,66.21624712,66.96358999,67.73773846,67.85933078,68.24756553,68.84310271,69.16711307,69.58887653,69.58534524,70.39541943,70.89440199,72.26823053,72.88061332,72.74944095,73.39790859,73.65549675,73.74137904,74.15078839,74.31576547,74.74563899,75.21008959,75.87889209,76.12572437,76.62130478,77.05033804,77.13692473,77.63800086,78.49231082,78.61616607,78.327092,78.48941792,78.53383831,78.6995711,78.75958099
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.92785419,67.60953052,68.27443282,69.03680266,68.58453541,68.46315568,68.5844187,69.70386841,71.08859521,72.36648827,72.02604008,73.55268336,74.03921138,75.06992971,75.99327163,76.04727416,76.07765162,76.73222549,77.06645832,78.51720458,78.48490138,78.34607398,78.5572657,78.02308338,78.36263991,79.15430597
India,38.13928823,38.29280197,39.50291222,38.38047393,37.40207223,38.65189238,38.12468801,36.69852677,37.13074679,36.60695369,37.56850649,38.48554655,38.42865907,36.53332747,38.21721245,40.18849366,40.79827804,39.71054878,40.27614579,41.35643472,40.32361305,40.80740473,41.92889573,41.23143775,42.21496302,43.40840374,44.37602814,44.89415352,44.00781964,44.50229113,44.48339563,45.20963989,45.49465128,45.82542879,45.32275276,46.34177432,46.27375866,47.70265644,48.46789748,50.27350305,50.97828877,51.99413313,53.13368485,53.24782191,53.04638947,53.05581215,52.869948,52.71175171,53.92802702,54.50394628,54.63925893,48.96949186,50.01836492,50.86462594,52.5999358,
Japan,,,,,,,,,,,51.18750336,52.32843193,53.09572027,52.39133384,53.98271243,56.00680148,56.16699055,57.1071858,57.22274906,57.71665325,57.85867979,57.81186459,58.55635117,59.40790687,59.02239618,59.07383808,59.67433147,60.27065136,60.1243954,60.03192922,59.82467162,60.32857191,61.58329465,63.12316017,64.39087734,65.18645524,65.34823657,65.68283718,66.44609349,67.00247083,67.34512607,69.03493315,69.85993127,70.01743511,70.11261053,70.64838808,70.70700889,70.63749242,71.31676024,72.79158499,71.28185163,72.70045347,72.75935995,72.43554453,71.96814087,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.67021057,75.32836951,75.54642714,75.65453777,76.70064222,77.72704718,77.44924716,77.04206865,76.88748757,76.60582467,76.75618153,77.19830681,78.72787736,78.43520598,78.00356619,78.21468412,77.90874424,77.98046263,
